,n,a,e,completeness,spread
502,3.0,1.0999999999999999,0.0,0.631,0.05
503,4.0,1.0999999999999999,0.0,0.646,0.05
504,5.0,1.0999999999999999,0.0,0.683,0.05
505,6.0,1.0999999999999999,0.0,0.691,0.05
506,7.0,1.0999999999999999,0.0,0.694,0.05
507,8.0,1.0999999999999999,0.0,0.702,0.05
508,9.0,1.0999999999999999,0.0,0.705,0.05
509,10.0,1.0999999999999999,0.0,0.708,0.05
510,1.0,1.0999999999999999,0.0,0.488,0.1
511,2.0,1.0999999999999999,0.0,0.583,0.1
512,3.0,1.0999999999999999,0.0,0.63,0.1
513,4.0,1.0999999999999999,0.0,0.654,0.1
514,5.0,1.0999999999999999,0.0,0.69,0.1
515,6.0,1.0999999999999999,0.0,0.696,0.1
516,7.0,1.0999999999999999,0.0,0.694,0.1
517,8.0,1.0999999999999999,0.0,0.7,0.1
518,9.0,1.0999999999999999,0.0,0.712,0.1
519,10.0,1.0999999999999999,0.0,0.713,0.1
520,1.0,1.0999999999999999,0.0,0.491,0.15000000000000002
521,2.0,1.0999999999999999,0.0,0.582,0.15000000000000002
522,3.0,1.0999999999999999,0.0,0.623,0.15000000000000002
523,4.0,1.0999999999999999,0.0,0.647,0.15000000000000002
524,5.0,1.0999999999999999,0.0,0.682,0.15000000000000002
525,6.0,1.0999999999999999,0.0,0.69,0.15000000000000002
526,7.0,1.0999999999999999,0.0,0.702,0.15000000000000002
527,8.0,1.0999999999999999,0.0,0.703,0.15000000000000002
528,9.0,1.0999999999999999,0.0,0.702,0.15000000000000002
529,10.0,1.0999999999999999,0.0,0.707,0.15000000000000002
530,1.0,1.0999999999999999,0.0,0.487,0.2
